n,K_true,separation,event_rate_target,pattern,n_reps,n_events_mean,event_rate_mean,K_sel_accuracy,K_sel_mean,K_over_rate,K_under_rate,ARI_all_mean,ARI_all_sd,ARI_conditional_n,ARI_conditional_mean,ARI_conditional_sd,beta_rmse_conditional_mean,cindex_full_mean,cindex_cv_mean,cindex_cox1_mean,cindex_gain_mean,gamma_mean,min_cluster_prop_mean,min_eff_events_mean,beta_sep_mean,converge_rate
250,3,low,0.25,disjoint,20,61.1,0.245,0.15,1.4,0,0.85,0.02,0.039,3,0.077,0.049,0.29,0.583,0.567,0.541,0.042,0.58,0.829,50.82,Inf,1
250,3,low,0.25,signflip,20,62.8,0.251,0.05,1.4,0,0.95,0.027,0.039,1,0.076,NA,0.38,0.607,0.595,0.55,0.057,0.32,0.795,50.63,Inf,1
250,3,low,0.44,disjoint,20,111.2,0.445,0.1,1.45,0,0.9,0.022,0.033,2,0.064,0.011,0.264,0.603,0.572,0.537,0.066,0.24,0.787,86.54,Inf,1
250,3,low,0.44,signflip,20,109.3,0.437,0,1.25,0,1,0.012,0.027,0,NA,NA,NA,0.561,0.558,0.543,0.018,0.42,0.863,93.55,Inf,1
250,3,med,0.25,disjoint,20,66.2,0.265,0.1,1.65,0,0.9,0.144,0.142,2,0.219,0.022,0.432,0.655,0.614,0.579,0.076,0.4,0.671,44.24,Inf,1
250,3,med,0.25,signflip,20,60.6,0.243,0.05,1.2,0,0.95,0.039,0.097,1,0.196,NA,0.537,0.622,0.612,0.596,0.026,0.39,0.91,54.67,Inf,1
250,3,med,0.44,disjoint,20,107.2,0.429,0.25,1.85,0,0.75,0.133,0.116,5,0.213,0.038,0.404,0.659,0.61,0.578,0.081,0.5,0.61,65.04,Inf,1
250,3,med,0.44,signflip,20,108.1,0.432,0.1,1.45,0,0.9,0.089,0.127,2,0.24,0.005,0.509,0.63,0.602,0.574,0.056,0.49,0.778,84.72,Inf,1
500,1,high,0.25,disjoint,20,126.4,0.253,0.95,1.05,0.05,0,NA,NA,0,NA,NA,NA,0.809,0.794,0.813,-0.005,0.09,0.971,123.07,Inf,1
500,1,high,0.25,signflip,20,126,0.252,1,1,0,0,NA,NA,0,NA,NA,NA,0.806,0.788,0.813,-0.007,0.06,1,125.95,Inf,1
500,1,high,0.44,disjoint,20,220.1,0.44,1,1,0,0,NA,NA,0,NA,NA,NA,0.801,0.791,0.806,-0.005,0.04,1,220.05,Inf,1
500,1,high,0.44,signflip,20,216.8,0.434,1,1,0,0,NA,NA,0,NA,NA,NA,0.799,0.784,0.806,-0.008,0.07,1,216.75,Inf,1
500,1,low,0.25,disjoint,20,124.9,0.25,0.8,1.2,0.2,0,NA,NA,0,NA,NA,NA,0.67,0.638,0.661,0.009,0.42,0.889,110.33,Inf,1
500,1,low,0.25,signflip,20,122.3,0.245,0.95,1.1,0.05,0,NA,NA,0,NA,NA,NA,0.673,0.641,0.67,0.003,0.25,0.965,118.24,Inf,1
500,1,low,0.44,disjoint,20,225.4,0.451,1,1,0,0,NA,NA,0,NA,NA,NA,0.676,0.654,0.678,-0.002,0.25,1,225.45,Inf,1
500,1,low,0.44,signflip,20,220.8,0.442,0.9,1.2,0.1,0,NA,NA,0,NA,NA,NA,0.674,0.65,0.681,-0.007,0.19,0.929,205.46,Inf,1
500,1,med,0.25,disjoint,20,125,0.25,1,1,0,0,NA,NA,0,NA,NA,NA,0.733,0.711,0.74,-0.007,0.11,1,125,Inf,1
500,1,med,0.25,signflip,20,120.2,0.24,0.85,1.2,0.15,0,NA,NA,0,NA,NA,NA,0.744,0.714,0.743,0.001,0.16,0.907,109.62,Inf,1
500,1,med,0.44,disjoint,20,218.6,0.437,0.95,1.05,0.05,0,NA,NA,0,NA,NA,NA,0.735,0.718,0.744,-0.009,0.14,0.972,212.99,Inf,1
